SYMBOL,STOCK NAME,LISTING DATE
BANG.NS,BANG OVERSEAS LIMITED,2008-02-20
BANKA.NS,BANKA BIOLOO LIMITED,2020-10-29
BANKBARODA.NS,BANK OF BARODA,1997-02-19
BANKINDIA.NS,BANK OF INDIA,1997-04-30
BANSALWIRE.NS,BANSAL WIRE INDUSTRIES LIMITED,2024-07-10
BANSWRAS.NS,BANSWARA SYNTEX LIMITED,2007-04-11
BASF.NS,BASF INDIA LIMITED,1995-05-17
BASML.NS,BANNARI AMMAN SPINNING MILLS LIMITED,2005-11-14
BATAINDIA.NS,BATA INDIA LIMITED,2003-06-18
BATLIBOI.NS,BATLIBOI LIMITED,2026-04-20
BAYERCROP.NS,BAYER CROPSCIENCE LIMITED,2010-01-08
BBL.NS,BHARAT BIJLEE LIMITED,2006-11-21
BBOX.NS,BLACK BOX LIMITED,2003-07-22
BBTC.NS,THE BOMBAY BURMAH TRADING CORPORATION LIMITED,1996-04-03
BBTCL.NS,B&B TRIPLEWALL CONTAINERS LIMITED,2022-11-23
BCG.NS,BRIGHTCOM GROUP LIMITED,2015-05-08
BCLIND.NS,BCL INDUSTRIES LIMITED,2021-03-04
BCONCEPTS.NS,BRAND CONCEPTS LIMITED,2022-01-11
BCPL.NS,BCPL RAILWAY INFRASTRUCTURE LIMITED,2026-03-27
BDL.NS,BHARAT DYNAMICS LIMITED,2018-03-23
BEARDSELL.NS,BEARDSELL LIMITED,2015-01-13
BECTORFOOD.NS,MRS. BECTORS FOOD SPECIALITIES LIMITED,2020-12-24
BEDMUTHA.NS,BEDMUTHA INDUSTRIES LIMITED,2010-10-14
BEEKAY.NS,BEEKAY STEEL INDUSTRIES LIMITED,2026-04-20
BEL.NS,BHARAT ELECTRONICS LIMITED,2000-07-19
BELLACASA.NS,BELLA CASA FASHION & RETAIL LIMITED,2025-07-18
BELRISE.NS,BELRISE INDUSTRIES LIMITED,2025-05-28
BEML.NS,BEML LIMITED,2003-11-05
BENGALASM.NS,BENGAL & ASSAM COMPANY LIMITED,2026-04-20
BEPL.NS,BHANSALI ENGINEERING POLYMERS LIMITED,2005-03-21
BERGEPAINT.NS,BERGER PAINTS (I) LIMITED,1999-11-24
BESTAGRO.NS,BEST AGROLIFE LIMITED,2024-04-10
BETA.NS,BETA DRUGS LIMITED,2025-11-24
BFINVEST.NS,BF INVESTMENT LIMITED,2011-01-14
BFUTILITIE.NS,BF UTILITIES LIMITED,2007-05-03
BGRENERGY.NS,BGR ENERGY SYSTEMS LIMITED,2008-01-03
BHAGCHEM.NS,BHAGIRADHA CHEMICALS & INDUSTRIES LIMITED,2021-10-18
BHAGERIA.NS,BHAGERIA INDUSTRIES LIMITED,2016-03-02
BHAGYANGR.NS,BHAGYANAGAR INDIA LIMITED,2017-05-17
BHANDARI.NS,BHANDARI HOSIERY EXPORTS LIMITED,2017-01-30
